,MAE training,MAE test,RMSE training,RMSE test,MAE R training,MAE R test,MAE H training,MAE H test,RMSE R training,RMSE R test,RMSE H training,RMSE H test
16,145.00090405344963,131.84572576522828,253.01018118788812,222.3410614231559,68.02168090820312,72.61154235839844,221.98012719869612,191.0799091720581,87.74210207815048,94.8165358216671,346.8856109618319,299.8014671817496
17,341.5368777921796,312.11111524581906,581.8673098561192,511.36690890559663,116.125654296875,119.49944580078125,566.9481012874842,504.72278469085694,152.69875496889193,163.80178896629926,808.5927422314307,704.3871130129864
18,87.37578622281552,91.27607944488526,161.7763460446028,159.45161587723248,42.28968170166016,48.30379760742188,132.46189074397088,134.24836128234864,54.7426552786844,67.66468391832863,222.14052753184257,215.10724339722654
19,127.58106381893158,138.33917875289916,224.34124161105223,226.88715933155777,66.30183929443359,69.972275390625,188.86028834342957,206.70608211517333,80.50947623819391,85.650100410626,306.8814259792025,309.22423326566286
20,367.8620275324583,372.1747327518463,599.9163523988234,591.458502835932,145.76284210205077,154.81999084472656,589.9612129628658,589.529474658966,193.89046883676286,203.87180842134583,825.9574721771572,811.2229082594096
21,86.92110876739025,100.12096093893052,136.08179597729162,166.96078049003677,57.44804183959961,58.20053894042969,116.39417569518089,142.04138293743137,65.62201602397066,66.74433603373897,180.9150668290515,226.48840599708373
22,89.42740150526167,93.17883573949337,154.99835769604235,166.90916928376708,41.26379348754883,46.72359008789063,137.5910095229745,139.63408139109612,56.0304662504759,64.82252918225345,211.9187783767519,226.97000086445422
23,365.4072083759308,356.8493994665146,595.0606908126875,566.8487646461626,133.07427368164062,140.1604443359375,597.7401430702209,573.5383545970917,175.31370943993178,179.73746696079914,823.0793125716127,781.2358715089042
24,108.09763232946396,125.90142645835877,187.35816750510108,215.3974907982297,57.87605545043945,62.42112609863281,158.31920920848847,189.38172681808473,71.41910116193162,77.830077525136,255.15775091296143,294.50744832139344
25,103.06285258293153,120.05951795578004,174.08001952294998,200.884766898223,43.08994125366211,48.128407592773435,163.03576391220093,191.99062831878663,57.59823886899071,68.08634750176066,239.35360718696512,275.8144819029202
26,125.10630010342226,125.23446199417114,205.5115389908731,199.53461820416334,47.58534988403321,49.63911254882812,202.6272503228113,200.82981143951417,62.576023237239,63.66910151764628,283.8207649778411,274.9079359270993
27,111.39968517303467,112.58343437194824,164.84489662227253,161.1118516591154,38.46265563964844,39.347225952148435,184.3367147064209,185.81964279174804,52.15257000020873,57.20979801487393,227.2174934444722,220.5472659117654
28,415.09914664089683,392.2922295188904,636.5821680752572,597.9678907405591,178.04545455932617,182.63629272460938,652.1528387224674,601.9481663131714,237.02009166598964,239.36823595571846,868.5016923238769,811.0696914130586
29,69.84035916388035,91.27240875378251,123.12592107660315,170.91741328503824,36.76167556762695,42.21262451171875,102.91904276013375,140.33219299584627,49.82963217729614,55.532145196263215,166.84421667831108,235.24817784203617
