,MAE training,MAE test,RMSE training,RMSE test,MAE R training,MAE R test,MAE H training,MAE H test,RMSE R training,RMSE R test,RMSE H training,RMSE H test
17,128.26491584300993,155.85410594165324,243.51498759681382,313.93627038420357,51.30024978637695,61.04502685546875,205.22958189964294,250.66318502783776,70.44264253459419,88.16393915893012,337.1007749639509,435.1311107671664
18,127.58798784732818,154.94036358118058,237.97961368966546,286.7868795111359,50.610356140136716,65.59302185058594,204.56561955451966,244.2877053117752,67.27206539485596,88.907305632852,329.7621298470688,395.7131783559606
19,145.4278322928492,162.57519022226336,263.16769778775324,289.5724753925995,55.4059228515625,61.86177490234375,235.4497417341359,263.28860554218295,72.44888084076442,83.75203765399881,365.05565874635226,400.8616135261625
20,156.64133579254153,151.0509235906601,288.95819182806815,286.43012710450034,54.2213101196289,52.92061767578125,259.0613614654541,249.18122950553894,76.01893184870296,74.33103328280983,401.5156226719896,398.1950940397311
21,123.52851382255554,148.40159996032713,236.93753613725653,278.1416847109427,46.31713943481445,58.431495361328125,200.73988821029664,238.37170455932616,62.868304816997785,73.84764077386541,329.12971350369537,386.35750219170984
22,140.7054530596733,128.7598538815975,260.76210134167917,234.4535459579319,60.08476257324219,51.384093017578124,221.32614354610442,206.13561474561692,81.08678206945055,69.41256625377049,359.7480795860874,324.22033568325435
23,116.8405065971613,120.98184565067292,214.719756737639,207.7794038664395,52.77449188232422,58.67744018554688,180.90652131199838,183.28625111579896,72.01403455608421,81.81578319298025,294.9968248878229,282.22462501118724
24,129.60123590976,140.67906871795654,243.96951996973544,264.6484235879329,52.5131721496582,52.668834838867184,206.68929966986178,228.6893025970459,70.4202003464223,71.19129631353977,337.76211855638303,367.43621969581835
25,115.71399328172207,115.2784553718567,215.87054471419412,198.21103321724172,50.81007736206055,59.2955810546875,180.61790920138358,171.26132968902587,67.68197166872709,78.79130584950812,297.6899979197142,269.011444924974
26,127.33679903686047,130.39313381910324,239.27171024528596,241.67518414644627,47.44846160888672,50.77326232910156,207.2251364648342,210.01300530910493,63.91536594341902,68.13194437004434,332.2901272137453,334.9206285387549
27,133.73332092642784,166.29342153549194,256.37419877864227,317.44801089909157,51.931026763916016,54.76834716796875,215.53561508893966,277.81849590301516,71.64763207913147,74.48318743334397,355.4181711958957,442.71744266218934
28,143.20637848913668,153.08992871046067,265.3135699184745,279.9841490482132,61.14810165405274,60.6146630859375,225.26465532422066,245.56519433498383,79.07594940892363,82.28281015599777,366.7827354045553,387.3135507432398
29,122.3886377069354,126.12119644641876,235.74340932496736,233.50735123496642,41.44851440429687,48.72445617675781,203.32876100957392,203.5179367160797,57.941842631413266,67.21343204210781,328.3179144560875,323.3167498207615
