,MAE training,MAE test,RMSE training,RMSE test,MAE R training,MAE R test,MAE H training,MAE H test,RMSE R training,RMSE R test,RMSE H training,RMSE H test
13,154.28138396859168,162.87958755493165,283.2756241022978,304.95838949315817,60.169671630859376,66.48708618164062,248.393096306324,259.2720889282227,81.1642506057951,87.56996703333456,392.3041203514086,422.2922442080866
14,304.2133583864197,344.17841522932054,506.6886218656253,567.8702871624166,121.71081787109375,128.63559753417968,486.7158989017457,559.7212329244613,163.8756104444305,159.51129642729904,697.5754463551876,787.0892404269882
15,212.66765356227754,204.32132323980332,378.9120312343988,362.28902484198585,77.10422332763672,84.35048583984376,348.23108379691837,324.29216063976287,102.30461494818834,113.07901744913228,526.0061031857515,499.71973230467177
16,218.55617955833674,230.59787877082823,403.5587009624523,422.49484355845027,64.05984359741211,68.817666015625,373.05251551926136,392.3780915260315,87.7786607240926,87.88195603314826,563.9274394516452,590.9996171494078
17,349.8180988293886,375.6047710418701,575.2398432891999,595.0760857602035,132.53262878417968,167.10799743652345,567.1035688745975,584.1015446472168,178.84738253663514,224.7198659279951,793.6090778050375,811.006829530229
18,218.3309024383128,226.45658930063246,388.3248800702952,374.12890651189605,86.28365997314454,87.37459350585938,350.37814490348103,365.53858509540555,126.93074299192881,120.79216803085637,534.3042311705342,515.1253532083036
19,347.9530214129016,367.08885183334354,575.02823812717,598.0911113033662,133.4711912536621,149.9316033935547,562.434851572141,584.2461002731324,183.94459598819367,220.52267381898668,792.1359320811141,816.5755967281387
20,182.59336957871915,193.6116519525647,320.8764676060863,338.0487843700894,73.01232894897461,74.04448486328126,292.17441020846366,313.17881904184816,97.59296416817946,100.40073766460759,443.1692997846174,467.41165272658
21,357.6522160455584,400.9958641290665,579.1015874194297,681.0712752485283,143.3636633300781,164.0114483642578,571.9407687610387,637.9802798938751,199.64351149742654,230.63884455545983,794.2668099702925,935.1587497956888
22,194.74595623314383,184.41745725154877,344.4525624172232,349.9873049110809,69.79146835327148,66.7975244140625,319.70044411301615,302.03739008903506,94.04374542263085,91.19482554759152,477.9653852095001,486.48302230518607
23,307.52333625622094,320.3173018968105,536.5443749712175,564.8518759084119,108.65283508300782,109.3035968017578,506.3938374294341,531.3310069918632,144.35621028671673,142.9176042384315,744.9302096023268,785.9324664583153
24,174.25760569423437,162.60819886207582,322.2946440712196,312.6711972574229,58.58936889648437,65.16099182128906,289.9258424919844,260.05540590286256,78.27979256026636,90.65825821397799,449.02110114192874,432.7905213915714
25,327.68243907213207,321.0603642964363,552.49673134786,530.9311008074129,122.33786407470703,125.11095764160156,533.0270140695571,517.0097709512711,168.58960547239195,178.65542326063908,762.9435242708355,729.2858886257876
26,168.21365735054016,174.95757118344306,308.4028938988222,318.35846896123957,65.00359176635742,77.68904968261718,271.4237229347229,272.22609268426896,87.35124456051861,101.75632090173796,427.3107183351068,438.57710915554134
27,222.04979400634767,210.4162218594551,403.9623325060663,374.01436416045624,59.03526290893555,62.84942810058594,385.06432510375976,357.98301561832426,79.01047758838371,86.72582403297656,565.7989718961492,521.7778460633432
28,332.89217826485634,357.43817784070967,552.8133983360617,561.7733967228846,121.8232341003418,140.37952087402343,543.9611224293709,574.4968348073959,162.73126808425602,176.65635156228493,764.672375038762,774.5780993443059
29,189.39876516699792,205.32285650491716,348.30771034364733,365.07371436353384,58.19427856445313,62.73838256835938,320.6032517695427,347.9073304414749,76.93019249981117,86.45183252769769,486.53701570549646,509.0026664870993
